Pool,Pool Notes,Application,Foreground Begin (Unix Time),Foreground End (Unix Time)
,,Google Chrome,1358625013.56,1358625014.09
,,Preview,1358625014.61,1358625015.13
,,Google Chrome,1358625015.65,1358625017.73
,,Google Chrome,1358625018.77,1358625025.53
,,Preview,1358625026.06,1358625027.62
,,Finder,1358625028.14,1358625036.99
,,Preview,1358625037.52,1358625043.81
,,Finder,1358625044.34,1358625060.60
,,Preview,1358625061.13,1358625063.76
,,Google Chrome,1358625064.29,1358625073.19
,,Preview,1358625073.71,1358625074.23
,,Finder,1358625074.75,1358625077.37
,,Google Chrome,1358625077.89,1358625095.64
,,Tweetbot,1358625096.16,1358625124.86
,,Google Chrome,1358625125.39,1358625131.64
,,Tweetbot,1358625132.16,1358625141.55
,,Google Chrome,1358625142.07,1358625320.06
,,Tweetbot,1358625320.58,1358625324.75
,,Google Chrome,1358625325.27,1358625329.44
,,Tweetbot,1358625329.96,1358625330.48
,,Preview,1358625331.01,1358625332.05
,,Google Chrome,1358625332.57,1358625336.73
,,Google Chrome,1358625337.77,1358625341.42
,,Google Chrome,1358625342.46,1358625346.63
,,Preview,1358625347.15,1358625349.23
,,Finder,1358625349.76,1358625358.10
,,Preview,1358625358.62,1358625362.83
,,Finder,1358625363.39,1358625394.68
,,Preview,1358625395.20,1358625419.70
,,Finder,1358625420.22,1358625421.79
,,Google Chrome,1358625422.83,1358625424.41
,,Preview,1358625424.94,1358625425.99
,,Finder,1358625426.51,1358625429.12
,,Google Chrome,1358625429.64,1358625441.14
,,Tweetbot,1358625441.66,1358625448.43
,,Google Chrome,1358625448.95,1358625507.81
,,Google Chrome,1358625508.85,1358626351.84
,,Tweetbot,1358626352.37,1358626352.90
,,Preview,1358626353.95,1358626356.04
,,Google Chrome,1358626356.58,1358626360.26
,,Preview,1358626360.78,1358626361.30
,,Google Chrome,1358626361.82,1358626363.91
,,Google Chrome,1358626364.95,1358626430.88
,,Preview,1358626431.39,1358626433.48
,,Finder,1358626434.00,1358626440.25
,,Preview,1358626440.78,1358626442.86
,,Tweetbot,1358626443.38,1358626450.15
,,Finder,1358626450.67,1358626457.96
,,Preview,1358626458.48,1358626463.69
,,Finder,1358626464.22,1358626489.26
,,Google Chrome,1358626489.78,1358626543.42
,,Finder,1358626543.96,1358626545.01
,,Preview,1358626545.53,1358626553.97
,,Finder,1358626557.10,1358626559.19
,,Preview,1358626559.72,1358626562.84
,,Google Chrome,1358626563.36,1358626571.24
,,Google Chrome,1358626573.84,1358626582.16
,,Preview,1358626582.69,1358626586.87
,,Finder,1358626587.39,1358626616.64
